,Date,User,Tweet
0,2021-11-01 23:59:49+00:00,MrLiepitz,"@NicotriJudie @Machete1224 Ummm... Google Ivan Rodriguez, Carlton Fisk, Johnny Bench, Yadier Molina &amp; Yogi Berra before posting nonsense like this!"
1,2021-11-01 23:58:24+00:00,bilal460,Yogi Adityanath Warns Afghan Leaders For Another Adventure in Future https://t.co/KzNAofGOfB via @YouTube
2,2021-11-01 23:58:07+00:00,imammud72803050,"@BabySafeShiba Great super amauzing giveaway 🔥
I hope both of you brings properity and Success to each other . Also This is great oppurtunity to those loyal Supporters. Thanks

@Since1998______ @Yogi_hap_hap @YoditaR 

#BSSI #doge"
3,2021-11-01 23:58:00+00:00,florentosmani1,"The only thing that stands between you and your well-being is a simple fact: you have allowed your thoughts and emotions to take instruction from the outside rather than the inside.

Sadhguru, Inner Engineering: A Yogi's Guide to Joy"
4,2021-11-01 23:57:36+00:00,YOGI_2K2,@olga_stfu Boutta have the non smokers geeked 🤣🤣 https://t.co/3ukRQnjViz
5,2021-11-01 23:57:00+00:00,IwanSet72793068,"@JULIEN__COIN verry interesting project
@Nyzar_bastyan 
@yogi_yogistiwa 
@AgunSet88613954"
6,2021-11-01 23:55:17+00:00,4thGoodell,@_yogi_Bear_61 Drink water. As much as you can.
7,2021-11-01 23:54:51+00:00,NightScreamTV,@DotYogi praying for you Yogi. my condelences🙏🏾
8,2021-11-01 23:54:29+00:00,superbot_SUPER,hello my name is yogi happy and im here with my friend nozm
9,2021-11-01 23:53:37+00:00,RedeemedWifeMom,@_yogi_Bear_61 Sleep well Yogi 🙏🏼
10,2021-11-01 23:52:38+00:00,SureshSheth113,"Afghan girl sends water from Kabul river for PM Modi, will offer it at Ayodhya, says Yogi Adityanath
https://t.co/pW5N64FQCu

via NaMo App https://t.co/oJ978WgoeT"
11,2021-11-01 23:52:00+00:00,SpeedyBlaze2,"Speedy Blaze will be attending the Annual Yogi Bear's Jellystone Park Symposium and Trade Show in Covington, KY which takes place November 7-10, 2021.  We are so excited to be a part of this fantastic event.

You can read more about it on our website:  https://t.co/lSlmylEo8c https://t.co/1X0u2jcU08"
12,2021-11-01 23:50:07+00:00,Skibumm45,@Pac12Network @ASUFootball @JayD__5 @YogiRoth Whoa wait!!!!!!  Yogi you’re vegan?  Would never have guessed
13,2021-11-01 23:49:45+00:00,CarolTwin62,"@_yogi_Bear_61 I’ve been plagued w/ kidney stones for 20+ years…&amp; I can honestly say none were painless! I envy the fact that you aren’t feeling like a shard of glass is passing thru ur ur urethra, however, I’m glad you aren’t bc that’s not something I’d wish on my worst enemy (maybe Byedon)🤣"
14,2021-11-01 23:49:22+00:00,crouton_futon,"*Yogi Bear voice*
I’m Barack Obama"
15,2021-11-01 23:49:09+00:00,forashid,@WhiskyOpinions @hganjoo153 Exactly. Muslims are feeling the heat right now. It will get worse in next 5-10 years. Specially if the likes of Yogi grow any further in influence (which is quite likely)
16,2021-11-01 23:48:31+00:00,Yogi_OSL,@gjcredible I’m still leveling up guns
17,2021-11-01 23:47:50+00:00,hecate5points,@_yogi_Bear_61 I THOUGHT THEY HAD MEDS TO MELT THOSE.
18,2021-11-01 23:45:29+00:00,utes20,@TrevorASports @kslsports When UTAH played OSU we got Yogi. I like him.
19,2021-11-01 23:45:26+00:00,gjcredible,@Yogi_OSL You’re old account is a deadbeat dad. You’re never going to see it again.
20,2021-11-01 23:44:29+00:00,TerriMcnutt3,@_yogi_Bear_61 Good night
21,2021-11-01 23:44:16+00:00,hecate5points,@_yogi_Bear_61 OK GOODNIGHT 🌹🙏❤
22,2021-11-01 23:42:34+00:00,jerseypiroz,@Joshmarsella I would put yogi over jeter too
23,2021-11-01 23:40:41+00:00,Ca50813688Patty,@_yogi_Bear_61 Good night.
24,2021-11-01 23:40:29+00:00,Yogi_OSL,@gjcredible Under the new account hoe
25,2021-11-01 23:39:31+00:00,gjcredible,@Yogi_OSL @Irv_Phly About gotdamn time. Win #39 lol
26,2021-11-01 23:39:16+00:00,Shubham46308018,@BBCHindi #fully #agree with #YogiAdityanath
27,2021-11-01 23:38:10+00:00,rabitoff11111,@_yogi_Bear_61 Drink alkaline water.
28,2021-11-01 23:37:49+00:00,DrSundr,@ndtv #Yogi ji appointment as Defence Minister???? Or is he the In Charge PM when Modiji is on tour????
29,2021-11-01 23:36:29+00:00,Lauria1960,@_yogi_Bear_61 Good night 💤
30,2021-11-01 23:35:24+00:00,TimmonsKnipp,@_yogi_Bear_61 Goodnight
31,2021-11-01 23:34:42+00:00,KirtiThorat5,"@kukk44 @AmitabhAAV The worst of politics.
She downgraded Women Power in politics.
For me she should not be in poltics. 
She deserv other place.
Modi,Yogi,Amit Shah I find better politicians than her."
32,2021-11-01 23:33:54+00:00,darkprincefrost,@PaulaJo41820905 @_yogi_Bear_61 I learned early on that the ER is the last place I want to go when I get kidney stones
33,2021-11-01 23:33:24+00:00,LucindaG,@_yogi_Bear_61 Nite 😴✨
34,2021-11-01 23:32:47+00:00,Yogi_saputra610,"@SuperChad69 @Santasolan Believe this is a faithful project.The projector has a lot of attractive so hopefully the project will be better in the future and will be the best I love it🥰
@shasy281 
@DikaCz2 
@yogitod"
35,2021-11-01 23:32:15+00:00,shadyladydober1,@_yogi_Bear_61 Good night.
36,2021-11-01 23:31:53+00:00,ratman023,"@SKeating19 @nut_history @MWAragao Yogi, Dickey, Ruffing, Whitey. 2nd tier?"
37,2021-11-01 23:31:29+00:00,ladiraye88,@_yogi_Bear_61 Goodnight
38,2021-11-01 23:30:38+00:00,deepak1953,@prnmohan If Ajay Mishra Teni moves to mow farmers we will provide Yogi ji will provide Bull Dozer..
39,2021-11-01 23:30:19+00:00,flamingomancer,@JWCartoonist Don’t jinx it like I did when I joked about a live action Yogi Bear movie being made after I saw the preview for the first “Alvin and the Shitmunks” movie in theaters…
40,2021-11-01 23:29:39+00:00,kellytx2,@_yogi_Bear_61 Have a good night.
41,2021-11-01 23:29:00+00:00,ArtBernal7,@EBER4 Mickey's my boy but who do I take out Yogi?? Yeah Ruth Gehrig DiMaggio and Mantle... that's it my Mt Rushmore
42,2021-11-01 23:28:54+00:00,drraystep,@_yogi_Bear_61 Just getting mentally prepared for the time change Yogi
43,2021-11-01 23:27:31+00:00,Hecavimu,"@TheZodiacGamer Chris Pratt as Scooby Doo
Chris Pratt as Bugs Bunny
Chris Pratt as Fred Flintstone
Chris Pratt as Yogi Bear
Chris Pratt as Mickey Mouse
Chris Pratt as Link
Chris Pratt as Tom &amp; Jerry
Chris Pratt as"
44,2021-11-01 23:26:48+00:00,ski_nh,@_yogi_Bear_61 Have a good evening
45,2021-11-01 23:26:42+00:00,yogi_kong,"@DayJayTrades what do you think of low risk high return $KPLT? 

https://t.co/2TGOMfTztR"
46,2021-11-01 23:25:50+00:00,Ravinder536R,"Indians celebrating Pak!stan’s T20 cricket victory over India is a Desh Droh: CM Yogi Adityanath . @Swamy39 

https://t.co/k4TVu8veYn"
47,2021-11-01 23:24:25+00:00,yogi_kong,"@realwillmeade what do you think of low risk high return $KPLT play?

https://t.co/2TGOMfTztR"
48,2021-11-01 23:23:46+00:00,maxnjan,@_yogi_Bear_61 Good night. Sleep well.
49,2021-11-01 23:23:33+00:00,MariaYa95351033,@_yogi_Bear_61 Praying for you now Yogi.
50,2021-11-01 23:22:16+00:00,PatriotMalave67,@_yogi_Bear_61 have a restful night Yogi
51,2021-11-01 23:22:10+00:00,TrishaSanders33,"@_yogi_Bear_61 That was supposed to be 😴! 
So sorry...fat fingers I guess!"
52,2021-11-01 23:21:26+00:00,NoleyNol,@pharrahmones Thanks yogi
53,2021-11-01 23:21:01+00:00,JayKay074,"""If Taliban Moves Towards India, Air Strike Is Ready""
~~Yogi Adityanath

Naya Defence Minister?🤔 https://t.co/1O5Z8X3xGx"
54,2021-11-01 23:20:17+00:00,Peggy__________,@_yogi_Bear_61 Rest well 🙏
55,2021-11-01 23:20:04+00:00,Machinist5axis,@_yogi_Bear_61 brother all is good blessings back
56,2021-11-01 23:19:53+00:00,lvnells,@_yogi_Bear_61 I’m the same way. God bless you.
57,2021-11-01 23:19:05+00:00,JuliannaEmma17,@_yogi_Bear_61 Good night. 🙏
58,2021-11-01 23:19:04+00:00,bhavahyuktah,"Afghan girl sends water from Kabul river for PM Modi, will offer it at Ayodhya, says Yogi Adityanath
 https://t.co/wBVSjPVARJ

via NaMo App https://t.co/0YvJcwjopp"
59,2021-11-01 23:18:45+00:00,TrishaSanders33,@_yogi_Bear_61 Nighty night! 🥴
60,2021-11-01 23:18:12+00:00,bgrzib,"@_yogi_Bear_61 I feel your pain 😵‍💫Like yourself I have been mindful about drinking water and avoiding certain foods, although my most recent stone was so big it bounced out of the bowl 😮"
61,2021-11-01 23:17:23+00:00,mamacat2u,"@_yogi_Bear_61 I'm fixing to watch the backs of my eyelids, too 😁😴"
62,2021-11-01 23:17:22+00:00,NickHemiGuy,@_yogi_Bear_61 Good night and God bless you
63,2021-11-01 23:17:16+00:00,kopinakoo,someone gedor kamar yogi plzz capeee bangunin😩
64,2021-11-01 23:16:19+00:00,MaryGee5660,@_yogi_Bear_61 I had kidney stones once. I would rather give birth without anaesthetic again over kidney stones.
65,2021-11-01 23:15:43+00:00,Ray_BlueThunder,@_yogi_Bear_61 Welcome to the club. LOL.
66,2021-11-01 23:15:15+00:00,manialmal,"Modi Yogi Govt busy in self promotion, global hug...whereas ground reality is hidden from media. 👇 @myogiadityanath https://t.co/Iqy94hAZXW"
67,2021-11-01 23:15:03+00:00,1fr8car,@_yogi_Bear_61 Sorry for ya
68,2021-11-01 23:14:44+00:00,fdm_pgold,"@_yogi_Bear_61 Might be the kidney stone problem, too, Yogi. Sleep well."
69,2021-11-01 23:13:55+00:00,_yogi_Bear_61,"Suddenly can't stop yawning or keep my eyes open, must be an age thing lol. God bless you and lets do this all over tomorrow 🙏"
70,2021-11-01 23:12:35+00:00,lunayogamtl,"🥸Mo mornings at Luna with the entire month of November devoted to supporting healthier mornings, men’s health with 1 yogi in a morning class = $1 to charity towards men’s health issues! https://t.co/bj5UnUYtRv"
71,2021-11-01 23:12:15+00:00,Cherye48635212,@_yogi_Bear_61 I am glad it is not too much pain! Here is hoping it will be the last!
72,2021-11-01 23:11:24+00:00,BlogssJuly,@imrans909 Camel V cow piss. Camel cow hybrid invented. Yogi falls to gay love jihad of Dr. Nalayek
73,2021-11-01 23:09:47+00:00,RaMelbourne2017,"...""And for God's sake, never get into the petty habit of measuring your self-worth against other people's net-worth. As Yogi Ramen preached: 'Every second you spend thinking about someone elses dreams you take time away from your own.'""By Robin Sharma"
74,2021-11-01 23:09:17+00:00,MurielMccormack,"@James_Caan Used to be the Christmas Season began when Santa Claus ended the Macy's Thanksgiving Day Parade.

My Mom would take us to A&amp;S the next day, to get our picture taken with their Santa, lol.

As far as nowadays, to quote Yogi, count me out."
75,2021-11-01 23:08:23+00:00,kingmxjup,@spicybabew @rociiioLD_ aw. looks just like my cat yogi that i lost in august 🥺
76,2021-11-01 23:08:10+00:00,MediaFairness,@_yogi_Bear_61 prayers and blessings
77,2021-11-01 23:07:29+00:00,NappaneeDan,@_yogi_Bear_61 Lucky you. I had one that took 3 surgeries to get it out.
78,2021-11-01 23:07:06+00:00,DonnaSm22516695,@Maggarooo Hello Maggie 👋 I think 🤔 that you did 😉 a great 👍 job finding Yogi. He did wonderful finding those beautiful flowers 💐
79,2021-11-01 23:06:07+00:00,ski_nh,@_yogi_Bear_61 Ouch brother. 😬 Glad you can pass them. 🙏
